venueId,latitude,longitude
l2611,40.68083,-73.76331
l2852,40.74623905,-73.98058961
l6417,40.75931346,-73.97849478
l7639,40.72828342,-73.98788499999998
l388,40.77352188,-73.95678520000001
l1285,40.82358935,-74.22380201
l5558,40.77834721,-73.980903
l4134,40.82477735,-73.88307006
l59,40.74828059,-73.98556262
l623,40.58532515,-73.9520234
l1694,40.74837051,-73.98568869
l26,40.94175915,-74.01238511
l573,40.61848447,-73.75366953
l5795,40.94040013,-73.96214862
l987,40.70242744,-73.99048448
l1745,40.74277821,-73.99833798
l57,40.73083612,-73.99764061
l4672,40.730769,-73.9974505
l289,40.81348443,-74.07433033
l988,40.75568181,-73.88307006
l1445,40.75850534,-73.97652626
l1386,40.70247981,-73.79981204
l12,40.68968494,-74.17938709
l7246,40.71285903,-73.87741936
l6,40.707149,-73.99056999999998
l9741,40.774111,-73.959546
l285,40.73652697,-73.99055958
l1344,40.7356185,-73.99721414
l1374,40.65556632,-74.00839411
l1717,40.74434648,-73.99543065
l6752,40.70924712,-74.01355147
l520,40.7111095,-74.00504351
l7504,40.736901,-73.8785
l811,40.95158381,-74.08855677
l3515,40.7257302,-73.79252672
l4028,40.72555133,-73.99476528
l9424,40.7125896,-74.00632024
l166,40.89621270000001,-73.87670483
l36,40.738949,-73.989828
l2462,40.63904062,-73.99794102
l462,40.74019488,-73.98346494
l2714,40.747048,-74.15257037
l1657,40.80050589,-74.2041839
l3311,40.82670252,-73.95129204
l8557,40.7495279,-73.9947032
l2077,40.76050366,-73.94384937
l1994,40.791172,-73.944024
l3211,40.78911988,-73.97335052
l2,40.75280621,-73.97717535
l952,40.66479595,-73.92295351
l73,40.66421142,-73.91474955
l454,40.79924638,-73.93220767
l1005,40.841927,-73.873511
l982,40.83260434,-73.86046496
l7710,40.73447832,-73.99024844
l898,40.83487295,-74.22620649
l6331,40.925826,-73.835898
l1037,40.73569746,-73.81249842
l220,40.7575648,-73.96864592
l1978,40.70024353,-73.94112109999998
l1615,40.72098907,-73.98104875
l525,40.77226863,-73.93010371
l1458,40.83991797,-73.87893677
l3837,40.96577081,-74.07566071
l451,40.75261955,-73.99336294
l914,40.74404732,-73.98402737
l287,40.80494,-73.992149
l97,40.70964742,-74.01051729999998
l70,40.70972827,-74.01076978
l3754,40.70491221,-74.01401281
l1992,40.87097829,-73.82876809
l2585,40.69783673,-73.92736598
l230,40.86782694,-73.82703923
l1066,40.78986319,-73.94593309
l9411,40.703253,-74.01422739
l5112,40.86812592,-73.82576466
l1778,40.61249562,-73.98887973
l8571,40.741579,-74.029635
l1041,40.75884666,-73.98955107
l8243,40.74724254,-74.15266696
l191,40.70145732,-74.01321429
l3571,40.74763189,-73.98638613
l1923,40.76147154,-73.96677375
l2646,40.72603917,-73.9820838
l4583,40.69594185,-73.99039194
l1084,40.72634865,-73.98415715
l1979,40.84835184,-73.83081858
l3717,40.83309951,-74.01021481
l8926,40.62643564,-74.01344956
l5118,40.69958071,-73.91140242
l2491,40.74866718,-73.98837626
l148,40.60189765,-73.99352074
l627,40.69321218,-73.93010371
l7024,40.82527366,-73.92996311
l4529,40.82720715,-73.92603063
l663,40.7394648,-74.00265604
l586,40.79889202,-74.11812338
l3467,40.8102201,-73.96047592
l1352,40.702345,-73.9906849
l489,40.71800153,-73.9902829
l293,40.931951,-74.132019
l3719,40.69977177,-74.01339054
l134,40.75269756,-73.99003613
l1083,40.91733204,-74.18858249
l8468,40.76504877,-73.81954351
l11,40.7352825,-73.99040315
l1453,40.73506259,-73.99080514
l8767,40.74871699,-73.98815949
l5937,40.76528966,-73.81984794
l3980,40.70554075,-74.00825638
l4906,40.6731469,-73.99895423
l151,40.8900283,-74.07025337
l665,40.69351488,-73.99171189
l4843,40.95589867,-74.06818444
l2990,40.6941573,-73.99187258
l209,40.95634252,-74.06902772
l7771,40.75003444,-73.98903755
l541,40.61848447,-73.75366953
l1638,40.61848447,-73.75366953
l802,40.75005298,-73.97360802
l359,40.74902921,-73.99237186
l1800,40.74512070000001,-73.99247516
l2470,40.8623652,-74.1963172
l1227,40.61252119,-73.91296404
l932,40.6612058,-73.88063192
l2100,40.95620483,-74.06860321
l39,40.64440554,-74.07295704
l7013,40.74951365,-73.98762576
l9408,40.74405042,-73.97309978
l34,40.75650613,-73.98802757
l9077,40.78486386,-73.78632918
l1873,40.78684822,-73.78910395
l8696,40.787516,-73.78943141
l94,40.73977359,-74.00257587
l3676,40.63137918,-73.95144224
l2504,40.824774700000006,-73.9442163
l125,40.74201604,-74.00516337
l23,40.91733544,-74.07566071
l3214,40.74774465,-73.98530245
l177,40.75696158,-73.98982379
l40,40.75047562,-73.94028425
l3839,40.69321652,-73.989999
l8669,40.729369,-73.998868
l2689,40.72898243,-73.99583817
l8934,40.73702363,-73.98658126
l7570,40.71242696,-73.98925066
l159,40.7373,-74.03744
l4433,40.620465,-74.00710102
l2367,40.73729142,-74.03733633
l187,40.69147465,-73.98738384
l6152,40.6727551,-73.775631
l3010,40.729545,-73.986137
l8792,40.70311887,-73.987736
l5605,40.73736755,-73.99015091
l6143,40.7064404,-74.00612169
l42,40.74621884,-73.98151936
l9225,40.84291648,-73.86516249
l250,40.68430738,-73.9775978
l312,40.81554068,-73.95842347
l339,40.800356,-73.94687168
l87,40.94709963,-74.072561
l184,40.82809887,-73.93391132
l3486,40.82134415,-73.95403862
l1243,40.71814377,-74.00015652
l1198,40.75275186,-73.97305387
l426,40.74803726,-73.94687176
l1779,40.71446409,-73.99911582
l7880,40.75451688,-73.97339823
l189,40.96541694,-74.06288376
l3406,40.7537156,-73.98094722
l1808,40.76355592,-73.97286773
l2967,40.77589237,-73.95573145
l106,40.93508142,-73.96537147
l8943,40.689801,-73.72109652
l1394,40.75356409,-73.97953033
l9442,40.75609848,-73.97226182
l2253,40.84769339,-73.90088797
l3088,40.78302026,-73.94907872
l82,40.71178449,-74.00208235
l271,40.71421606,-74.00596619
l2465,40.71265873,-74.00588036
l3892,40.75803174,-73.97142386
l21,40.71343536,-73.95807266
l1111,40.88899013,-74.05581236
l110,40.910894,-74.031547
l5633,40.7421526,-73.82756765
l8310,40.92610478,-74.09925695
l45,40.67837611,-73.90339851
l833,40.76028084,-73.95057116
l5027,40.74755800000001,-73.993104
l1512,40.63404533,-74.14161271
l1961,40.63129906,-73.95096149
l2190,40.63118003,-73.95102463
l4790,40.93280626,-74.07115459
l7428,40.75102831,-73.87264967
l3090,40.71203303,-74.00699299
l254,40.90266454,-74.00578886
l338,40.7312265,-73.98887973
l6438,40.82645768,-73.89482953
l1120,40.89690578,-74.03017044
l1141,40.77799852,-73.95386021
l2696,40.89851723,-74.02913151
l8901,40.68047836,-73.97497083
l4,40.7572213,-73.99154663
l165,40.74911015,-73.98845673
l9531,40.76562484,-73.96783664
l6575,40.62229464,-74.02759378
l1622,40.75602574,-73.97033335
l1468,40.75557964,-73.97086143
l4008,40.75892783,-73.96144262
l2805,40.75918262,-73.96217732
l3027,40.57840084,-73.93618584
l1815,40.764016,-73.82947598
l3578,40.71655808,-74.00008678
l1674,40.834873,-74.225148
l3708,40.63216904,-73.94998567
l5948,40.91244813,-73.998075
l2439,40.71068343,-74.00461247
l1636,40.81143815,-74.06779647
l3352,40.89859144,-73.8477874
l4957,40.78898753,-74.25901479
l2876,40.74227764,-73.98525554
l1213,40.64250711,-73.88739669
l6288,40.66342761,-74.23399687
l4475,40.82406999,-73.89306694
l2734,40.75605707,-74.23554036
l736,40.77912607,-73.95490489
l746,40.8168158,-73.9413925
l4908,40.733848,-74.00505
l3699,40.88224162,-74.20962095
l7,40.75648987,-73.98626804
l558,40.677036,-73.972353
l4809,40.73477099,-74.10484314
l6179,40.67929277,-73.99570611
l3128,40.72343212,-74.00055531
l733,40.70919832,-74.01118577
l64,40.74272122,-73.9927621
l153,40.76071686,-73.91834636
l1551,40.73228891,-74.01051196
l9,40.76117086,-74.01128769
l836,40.66263818,-73.90887022
l4402,40.73308,-73.99987221
l747,40.73158409,-74.00021553
l176,40.96532878,-74.06292392
l496,40.61960195,-74.00806702
l853,40.82998414,-73.98887973
l691,40.75615113,-73.978965
l7500,40.76042729,-73.97769570000001
l2389,40.740223,-73.982688
l1380,40.75531235,-73.98122092
l9327,40.76082189,-73.9756079
l192,40.74611902,-73.99307013
l2684,40.7475513,-73.98114057
l1091,40.75485026,-73.98800494
l6294,40.70445914,-74.00578312
l1308,40.7991943,-74.09895296
l4312,40.88989838,-74.00271876
l2531,40.83422733,-73.88933746
l602,40.77943655,-73.80902767
l1140,40.777543,-73.813097
l6970,40.74716991,-74.00063565
l4257,40.71925781,-74.04154301
l1045,40.75313016,-73.97621627
l2800,40.72828321,-73.99559140000002
l679,40.75811657,-73.99289984
l3961,40.84274539,-74.10117837
l7318,40.76368781,-73.96763002
l1998,40.74516544,-73.97684186
l1034,40.80713952,-74.17684116
l2810,40.85328395,-73.97450594
l1122,40.77792543,-73.96661282
l1181,40.76169544,-73.92852213
l8008,40.73946789,-74.00756778
l2435,40.76215646,-73.9660918
l849,40.85215695,-74.0043354
l3519,40.69001786,-73.99341633
l5329,40.88555107,-74.21359062
l1155,40.73757,-74.0017
l2539,40.72498508,-73.99588975
l9076,40.72114836,-73.95703733
l9292,40.91799602,-73.77720317
l8688,40.71536266,-73.99738756
l6700,40.79293781,-73.97319735
l552,40.75538459,-73.92262459
l3391,40.75589317,-73.92044471
l199,40.72416908,-73.99721146
l1589,40.76502267,-73.98019552
l1521,40.7435646,-73.98216215
l4521,40.62657100000001,-73.97696898
l1991,40.74355232,-73.98197849
l157,40.9510571,-74.08986568
l4787,40.74510704,-73.97835016
l1156,40.94931792,-74.08792872
l2500,40.94766989,-74.08349276
l139,40.87454171,-74.0946311
l5132,40.79102260000001,-74.1509775
l1762,40.81866125,-74.18858249
l882,40.79263096,-74.20009375
l2066,40.66748039,-74.21548963
l813,40.77519536,-73.81249842
l1185,40.77519536,-73.81249842
l3422,40.81592792,-73.9580102
l25,40.71948549,-74.04270172
l699,40.71789169,-73.99794102
l4919,40.72611538,-73.98368876
l304,40.75831462,-73.97728379
l2520,40.73880317,-73.90279770000002
l591,40.73132217,-74.05938719
l630,40.73416939,-74.02823925
l3020,40.74554431,-73.98028543
l994,40.74581151,-73.98004438
l272,40.70819,-74.00648000000002
l3538,40.73046579,-73.98927859
l2306,40.74455699,-73.99065019
l79,40.73226701,-74.06304359
l6365,40.75609978,-73.98785591
l2754,40.75637696,-73.96765298
l922,40.6272943,-73.95361626
l8293,40.73275832,-73.98576631
l1,40.7507948,-73.99357639
l803,40.6605368,-74.17144322
l202,40.75850534,-73.98914337
l714,40.63505531,-74.01172221
l204,40.74490102,-73.99805899
l239,40.74862247,-74.03892517
l1114,40.78322232,-73.8334465
l506,40.86679532,-74.10016537
l2639,40.74751348,-73.99787536
l69,40.73420076,-74.16483829
l8013,40.77355997,-73.98314354
l2622,40.74939033,-73.98286233
l81,40.74119772,-74.00239166
l8632,40.73967263,-74.00169729
l782,40.71994085,-73.95129204
l32,40.77142562,-73.97350073
l5078,40.765279,-73.81657386
l4289,40.73521866,-74.00994920000002
l4470,40.76503892,-73.74358177
l196,40.76305616,-73.74328136
l372,40.74442474,-73.99649232
l2606,40.88691374,-74.21341896
l109,40.73115587,-73.98872765
l624,40.84494498,-74.0946311
l224,40.84637534,-73.96537147
l248,40.84637534,-73.96537147
l9874,40.720582,-73.992714
l1040,40.91142654,-73.98693848
l3555,40.7530419,-73.98907199
l1022,40.76526206,-73.9800329
l1538,40.70427281,-73.98675917
l600,40.76282703,-73.97336954
l2513,40.73753501,-73.99030209
l35,40.74109556,-73.99270535
l1427,40.753402,-74.038721
l3810,40.72606007,-73.99165450000002
l8284,40.75196933,-74.15222954
l30,40.75044987,-73.99221104
l754,40.60259049,-73.98887973
l1331,40.71057519,-73.81579267
l2642,40.75827779,-73.98802757
l1000,40.742019,-74.048426
l2219,40.66436018,-73.94593883
l24,40.70595327,-73.99656773
l1447,40.67361500000001,-73.99171
l56,40.71037756,-74.00755405
l3340,40.72645219,-74.00225967
l7537,40.726368,-73.98977
l129,40.8360806,-73.82426211
l5673,40.7114548,-73.98887973
l5248,40.729813,-73.958467
l710,40.84645437,-73.94216171
l2048,40.74809415,-73.98609638
l1078,40.71855466,-73.98899738
l3824,40.7216609,-73.99736461
l4169,40.75081989,-74.00386647
l1816,40.75876539,-73.95249367
l3748,40.78629711,-74.04612026
l1617,40.72048005,-73.9935598
l4688,40.75554296,-73.97036779
l674,40.6921107,-73.98889982
l9371,40.75690784,-73.96722824
l7575,40.780408,-73.9528491
l93,40.71356548,-73.97236347
l3724,40.75018302,-73.99133205
l569,40.79262893,-74.04188633
l7513,40.73686901,-73.9913446
l6280,40.70275221,-73.99069611
l2157,40.74049402,-73.98710489
l2354,40.73412061,-74.16445255
l9644,40.67969421,-73.97425175
l1214,40.72516293,-73.99215952
l9984,40.76377126,-73.97644043
l396,40.70841147,-73.95790637
l1599,40.71809032,-73.99999866
l9517,40.6985354,-73.91985655
l2937,40.77255697,-74.14161271
l1106,40.730277,-74.008187
l163,40.96535502,-74.06283213
l8069,40.7054356,-74.00834820000001
l390,40.76020332,-73.96292348
l1109,40.70681538,-73.95348072
l4090,40.717374,-73.997451
l7137,40.75349907,-73.96910191
l6051,40.747934,-73.987084
l3481,40.75485633,-73.98597836
l2489,40.71515505,-73.96037502
l6847,40.74159955,-74.00364876
l6891,40.74174587,-74.00336981
l403,40.74579388,-73.90296936
l8504,40.75642699,-73.98893999
l61,40.7255768,-74.00425200000002
l8558,40.74000255,-74.00580034
l3170,40.76633906,-74.21865463
l2537,40.78292986,-73.83085012
l367,40.69655801,-73.95361626
l6817,40.874372,-73.91036466
l2637,40.75279445,-73.97373112
l291,40.72918162,-73.99059713
l3888,40.71878936,-73.99280801
l1489,40.73268977,-73.97463799
l477,40.75274101,-73.97330797
l9357,40.73388473,-73.99288836
l5313,40.9101455,-74.07280807
l4972,40.86590418,-73.89482953
l490,40.70541414,-73.94938295
l5,40.773839,-73.87122
l323,40.86284175,-74.05562091
l1061,40.86554662,-73.85753613
l9583,40.77134395,-73.83512625
l636,40.83664807,-74.11432386
l58,40.71267093,-74.01193142
l5636,40.95648888,-74.06877531
l9050,40.87119269,-74.18746591
l3596,40.95643123,-74.06887283
l1200,40.67682903,-73.96343804
l9939,40.75172062,-73.97070699999998
l121,40.62578449,-74.08288386
l1121,40.73675460000001,-73.99521589
l1130,40.65979779999999,-74.11579728
l6108,40.7202327,-73.99330729
l405,40.7468343,-73.89155388
l2561,40.734195,-74.00316
l1423,40.94671189,-74.06816149
l4127,40.81730241,-73.9357324
l20,40.71430985,-73.94939443
l3745,40.721719,-73.984641
l2094,40.75739368,-73.99330097
l1414,40.71362369,-73.94971014
l5631,40.85724315,-73.93216174
l9543,40.70992369,-74.00718904
l120,40.71595074,-73.94959534
l7452,40.72301578,-73.98339399999998
l1844,40.86486627,-74.06523581
l2311,40.75765181,-74.0358876
l1250,40.71795206,-73.98541049
l2687,40.72330663,-74.00072747
l1087,40.76466513,-73.98807049
l4283,40.67482848,-73.97626877
l4332,40.80135488,-73.94390103
l5786,40.68545452,-73.71551514
l4180,40.68262247,-73.71836391
l4871,40.78236866,-73.94887782
l275,40.74181917,-73.99140199
l3356,40.75172595,-73.99347946
l4221,40.7284373,-73.981822
l1176,40.72721803,-74.05188611
l3729,40.7432578,-73.98407936
l137,40.72696607,-74.03832436
l787,40.78549052,-73.95361626
l6021,40.760898,-73.766524
l1775,40.74051218,-74.00589215
l92,40.7587284,-73.97855791
l6779,40.78280355,-73.77417256
l16,40.75372797,-73.98368836
l2050,40.87744097,-73.9065883
l112,40.78785598,-73.79333211
l4044,40.734853,-73.98858800000002
l5586,40.731823,-73.9898
l400,40.84066471,-74.16179179999997
l3438,40.87436275,-74.13854778
l897,40.8795046,-74.12986841
l8208,40.638026,-73.999702
l3612,40.79095220000001,-73.80611369
l281,40.75365076,-73.9694839
l5928,40.70780392,-74.006107
l511,40.74137194,-73.98931503
l3685,40.71775085,-73.95186268
l2921,40.62225921,-74.17456985
l6928,40.62197744,-74.17543364
l8447,40.75955296,-73.969702
l1220,40.63580843,-74.19698238
l5222,40.7406903,-73.99115522
l9768,40.64108677,-74.209455
l5567,40.76087145,-73.98887973
l6775,40.83003523,-74.1379857
l2090,40.78058919,-73.98073883
l333,40.751633,-73.9758855
l3690,40.72686017,-73.99980167
l8566,40.736819,-73.995148
l1727,40.743313,-73.97992594
l3008,40.72820507,-73.99927559
l9510,40.73618109,-73.99221691
l484,40.78506564,-73.81249842
l395,40.74651333,-74.00895647
l98,40.73573435,-73.99056762
l4385,40.737741,-74.033078
l5444,40.72800678,-73.99914265
l416,40.76364734,-73.97844136
l7888,40.802926,-73.967636
l956,40.8707769,-74.18019444
l131,40.96533795,-74.0628079
l1052,40.750746,-74.002286
l7997,40.69334301,-74.00063278
l4659,40.74613121,-73.97810340000002
l4755,40.73286584,-73.99374345
l3688,40.75909046,-73.98468018
l1318,40.92401799,-73.9976745
l6229,40.7389171,-74.00034298
l442,40.76430758,-73.98882151
l1184,40.74434085,-73.99042638
l7468,40.747706,-73.98625593
l3397,40.76609349,-73.98334441
l6374,40.79300964,-73.97339249
l1253,40.64220098,-73.98887973
l1411,40.80384465,-74.15335627
l970,40.780227,-73.792836
l652,40.78168478,-73.78896895
l419,40.78168478,-73.78896895
l8308,40.7710608,-74.01813764
l1010,40.78168478,-73.78896895
l1926,40.75214806,-73.97416158
l9709,40.75099148,-73.98887973
l963,40.66667421,-73.98817097
l5077,40.87879403,-73.84333355
l3716,40.74478805,-74.028754
l9217,40.83607242,-73.85480251
l1075,40.87719935,-73.83602511
l2511,40.83424989,-73.94523278
l1785,40.7382475,-74.03024463
l8168,40.73937221,-73.98498058
l407,40.80927,-73.94907117
l1085,40.75817623,-73.97035057
l3319,40.67282676,-73.99085999
l2507,40.67589787,-73.92373428
l2338,40.72194135,-73.99625896
l2978,40.72382097,-73.98535073
l4993,40.744279,-73.995839
l5076,40.84450379999999,-73.88307006
l332,40.85155841,-74.14161271
l29,40.80514464,-73.93914699999998
l435,40.77153206,-73.95629971
l6012,40.728844,-73.978603
l1358,40.74951025,-73.97160752
l383,40.88108826,-74.07113589
l3452,40.72705648,-73.98041169
l3186,40.75705234,-73.96721103
l113,40.80785512,-73.94546239
l253,40.863929,-74.07957900000002
l1236,40.77076561,-73.95504839
l1818,40.72321775,-73.95275116
l422,40.80496514,-73.94109399999998
l1290,40.73761,-73.987941
l399,40.77222744,-73.98302876
l7562,40.77203559,-73.90479984
l3190,40.82787106,-74.10190679
l3742,40.71918331,-73.98901459999998
l107,40.96535583,-74.06285508
l620,40.81187809,-73.90872122
l1720,40.72834571,-73.99944775
l18,40.7058882,-73.99000168
l186,40.76450261,-73.97408009
l5086,40.77867,-73.948125
l5871,40.75789135,-73.92001066
l6814,40.78854668,-73.97696813
l5366,40.72453441,-73.99054689
l7619,40.72259324,-74.00079633
l51,40.78577312,-73.95099163
l2355,40.78158643,-74.03603391
l1204,40.59770413,-74.16509908
l557,40.70477381,-73.94186034
l582,40.70477381,-73.94186034
l3148,40.86035289,-74.19816256
l2770,40.721613,-73.95814222
l2287,40.83784887,-73.94397566
l7604,40.737271,-73.996622
l1823,40.73929092,-74.15574074
l9177,40.70706694,-73.95194304
l6211,40.70701805,-73.95018657
l60,40.7095643,-73.7980628
l6599,40.7421943,-73.78896895
l3290,40.7356878,-73.81273681
l2999,40.721215,-73.98739300000003
l919,40.85064963,-73.89570515
l6349,40.71446356,-73.99882798
l1212,40.75976949,-73.96155742
l3436,40.75887312,-73.9626652
l206,40.73560499,-73.97196337
l1634,40.64409907,-74.09980183
l677,40.73215319,-74.03588891
l443,40.73340972,-74.00285648
l2825,40.75625175,-73.97174527
l3477,40.80356164,-73.94186034
l606,40.82462308,-73.94134658
l4796,40.74043669,-73.98490545
l8827,40.80918185,-73.96172961
l3475,40.6768514,-73.95570849
l488,40.93508142,-73.96537147
l188,40.96532194,-74.06280345
l4544,40.72615563,-73.98364285
l5720,40.86085804,-73.85954899
l3993,40.86280336,-73.84731889
l4555,40.86616247,-73.86088014
l1125,40.93508142,-73.96537147
l767,40.75688403,-73.98656309
l335,40.74954093,-73.97773325
l1661,40.58414369,-73.93951539
l856,40.72688322,-73.99640624
l354,40.9177621,-73.77304649
l7064,40.876974,-73.90691843
l459,40.91788114,-73.77322459
l5635,40.76058372,-74.00290813
l2191,40.7385593,-74.03072834
l4637,40.76087145,-73.98887973
l2332,40.75608725,-73.96758984
l5594,40.70944868,-73.99181519
l1032,40.75616479,-73.99060249
l6174,40.8309567,-73.884723
l8300,40.78078734,-74.12986841
l1989,40.74017876,-74.00560523
l2698,40.75678717,-73.99014517
l7565,40.75690345,-73.99091992
l1301,40.69484243,-73.99427176
l2040,40.69772074,-73.99302035
l1947,40.72517114,-73.98317224
l1783,40.76975455,-74.02395597
l926,40.58475655,-73.95034790000003
l1263,40.77211001,-74.02176408
l150,40.96541698,-74.06291968
l706,40.79216876,-74.00063278
l329,40.670769,-74.18085153
l369,40.67274111,-74.18081713
l818,40.77582899,-74.23554036
l498,40.78514256,-74.17647257
l2705,40.77688363,-73.82426211
l3183,40.71920938,-73.99687108
l1952,40.83676329,-74.17684116
l1353,40.63357692,-74.00645452
l6902,40.67310342,-73.96270752
l806,40.73569746,-73.81249842
l402,40.60790819,-74.00176042
l4952,40.77062934,-73.91698122
l789,40.72789008,-73.99897144
l65,40.76597116,-74.16509908
l685,40.92039063,-74.00063278
l9805,40.70266876,-73.80023139
l2124,40.70423611,-73.79380892
l4591,40.70439311,-73.79307359
l3127,40.70239646,-73.79117783
l2404,40.67343128,-73.93010371
l102,40.96535005,-74.06280287
l1773,40.74553378,-74.16464567
l5241,40.7192381,-73.98558840000003
l1330,40.875788,-74.065925
l9777,40.679172,-73.759354
l1814,40.67917348,-73.75508308
l404,40.69206707,-73.73460676
l205,40.62896454,-73.96537147
l507,40.67495826,-73.73607208
l9188,40.67457911,-73.736631
l1464,40.61848447,-73.75366953
l385,40.86590418,-73.89482953
l3787,40.7694624,-74.04381387
l6278,40.7114548,-73.98887973
l266,40.67692779,-73.89869928
l15,40.6501689,-73.94957542
l8383,40.728308,-73.98478100000001
l7892,40.7316703,-74.03958542
l551,40.79012656,-73.8477874
l54,40.76723746,-73.89482953
l2417,40.77519536,-73.81249842
l464,40.70416775,-73.948189
l1753,40.76159667,-74.04429007
l2230,40.68193081,-73.94995123
l1735,40.76165063,-74.04438427
l6558,40.75876269,-74.04428433
l2679,40.61416155,-74.00063278
l604,40.6352385,-73.96287918
l1107,40.63578842,-73.96276851
l923,40.84817643,-74.04763776
l5139,40.63719415,-73.95361626
l6207,40.84011376,-74.13597286
l1118,40.72143496,-74.05938719
l5830,40.73944139,-73.97712596
l5960,40.78272677,-73.94368529
l1613,40.73821644,-73.98784958
l1982,40.71643185,-73.96150576
l901,40.59424065,-73.93010371
l523,40.760871,-73.990166
l2959,40.73680709,-74.03088725
l8027,40.78033484,-73.9813644
l870,40.78447336,-73.96120548
l27,40.57334844,-73.98030281
l424,40.82723115,-73.9456059
l847,40.82733296,-73.94563459999998
l1209,40.66700011,-74.23554036
l258,40.82763613,-73.94684494
l297,40.82677243,-73.9460766
l5262,40.7127777,-73.7825931
l568,40.75215522,-73.99148807
l9913,40.73163092,-74.06486293
l13,40.76224487,-73.97928718
l4508,40.72800078,-74.0358876
l2162,40.80227785,-73.99948597
l401,40.82728397,-73.94556199
l4542,40.80331738,-74.00635242
l8285,40.68059294,-73.95582882
l1518,40.70310011,-73.93010371
l246,40.57912418,-73.82426211
l837,40.79884088,-73.96306124
l240,40.7722145,-73.95037025
l1851,40.86677098,-74.20047998
l1327,40.68991272,-73.98150444
l7347,40.60231762,-73.99340485
l522,40.777423,-73.948947
l5990,40.60456355,-73.99252107
l904,40.60259049,-73.98887973
l1616,40.61249562,-73.98887973
l2784,40.60259049,-73.98887973
l344,40.604532,-73.992438
l1397,40.6601875,-73.9065883
l1570,40.6601875,-73.9065883
l3172,40.59029693,-74.06643391
l1195,40.73569746,-73.81249842
l1645,40.68649588,-74.18251991
l2279,40.76443027,-73.987953
l859,40.58469545,-73.93245452
l1799,40.77748265,-74.05815125
l341,40.78143609,-74.05677403
l584,40.74758209,-74.17188764
l269,40.75187358,-73.97408009
l3223,40.72878266,-74.00717183
l3108,40.72973296,-74.00623072
l6498,40.72923959,-74.00673570000002
l3731,40.6404979,-73.78941536
l3923,40.7530926,-73.97358763
l841,40.75285676,-73.97367373
l3681,40.64072585,-73.78937244
l1757,40.75312596,-73.97379425
l1170,40.7530716,-73.97346711
l1065,40.69308534,-73.92848253
l2049,40.78453747,-73.97976316
l1071,40.76096605,-73.88538698
l1633,40.89487348,-74.07849279999998
l1479,40.64407991,-73.7823987
l4998,40.71823729,-73.99373531
l1740,40.79672258,-73.94124985
l350,40.77920901,-73.95512875
l824,40.75653670000001,-73.99718671
l1442,40.76489501,-73.916954
l2474,40.73864059,-73.99253368
l1226,40.84120528,-74.15902422
l413,40.84659538,-73.94228226
l300,40.84634615,-73.94103527
